"time","age","c_charge_degree","race","age_cat","score_text","sex","priors_count","days_b_screening_arrest","decile_score","is_recid","c_jail_in","c_jail_out"
"17",37,"M","Hispanic","25 - 45","Low","Male",0,0,1,0,"2014-03-24 03:20:57","2014-03-24 09:09:10"
"18",25,"F","African-American","25 - 45","High","Male",3,-1,10,0,"2013-12-21 05:42:02","2013-12-22 09:11:18"
"19",31,"F","Caucasian","25 - 45","Medium","Male",6,-1,5,1,"2013-11-16 07:12:12","2013-11-17 08:28:54"
"20",31,"F","Caucasian","25 - 45","Low","Male",5,-1,3,1,"2014-11-14 01:37:05","2014-11-15 04:57:04"
"21",64,"F","African-American","Greater than 45","Medium","Male",13,-1,6,1,"2014-05-01 06:49:08","2014-05-02 09:28:02"
"22",21,"F","African-American","Less than 25","High","Male",1,-1,9,1,"2013-04-17 01:40:58","2013-04-20 04:19:42"
"23",27,"M","Caucasian","25 - 45","Low","Male",0,0,2,1,"2014-10-16 05:43:29","2014-10-16 12:40:42"
"24",21,"F","Caucasian","Less than 25","Low","Female",0,-2,4,0,"2013-11-20 04:12:09","2013-11-21 07:53:21"
"25",24,"F","Hispanic","Less than 25","Low","Male",1,0,4,1,"2013-02-08 04:50:02","2013-02-09 04:43:17"
"26",43,"M","Caucasian","25 - 45","Low","Male",1,-1,1,0,"2013-01-24 03:43:22","2013-01-25 09:12:10"
"27",32,"M","Other","25 - 45","Low","Male",0,-1,3,0,"2013-05-10 08:38:16","2013-05-12 03:33:36"
"28",54,"F","African-American","Greater than 45","High","Female",0,-1,9,0,"2013-05-23 07:25:37","2013-09-11 05:51:06"
"29",44,"M","African-American","25 - 45","Medium","Male",8,0,6,0,"2014-08-21 03:56:39","2014-08-21 08:30:05"
"30",27,"F","African-American","25 - 45","Low","Male",8,-1,3,1,"2013-05-05 09:07:10","2013-05-22 09:08:22"
"31",26,"F","African-American","25 - 45","Medium","Male",5,-1,7,1,"2013-02-19 07:47:55","2013-02-20 06:33:11"
"32",33,"F","African-American","25 - 45","High","Male",0,0,10,1,"2014-10-24 12:50:50","2014-12-01 07:49:53"
"33",30,"F","Caucasian","25 - 45","High","Male",9,0,9,1,"2013-01-28 02:28:42","2013-03-13 07:32:52"
"34",32,"F","African-American","25 - 45","High","Male",4,-1,8,1,"2014-11-14 03:07:02","2014-11-15 04:56:55"
"35",63,"M","African-American","Greater than 45","Low","Male",0,-1,1,0,"2014-12-06 07:42:33","2014-12-08 04:02:00"
"36",27,"F","Hispanic","25 - 45","Low","Male",2,0,3,0,"2014-11-21 01:19:46","2014-11-21 02:08:38"
"37",55,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,"2013-12-29 06:37:02","2013-12-31 10:29:24"
"38",32,"F","African-American","25 - 45","High","Male",15,0,10,0,"2013-09-16 01:36:50","2013-12-17 06:21:28"
"39",38,"F","African-American","25 - 45","Low","Male",5,-1,3,0,"2014-01-10 10:18:46","2014-06-25 03:27:12"
"40",53,"F","Caucasian","Greater than 45","Medium","Male",19,-1,5,0,"2013-01-19 06:46:23","2013-01-25 03:31:33"
"41",49,"F","Other","Greater than 45","Low","Male",7,-1,3,1,"2013-04-03 04:47:14","2013-04-07 02:54:34"
"42",33,"M","Caucasian","25 - 45","Medium","Female",4,-1,5,1,"2013-12-02 01:48:34","2013-12-13 05:25:42"
"43",24,"M","Caucasian","Less than 25","Low","Male",1,0,2,1,"2013-09-15 03:47:52","2013-09-16 06:50:10"
"44",34,"F","African-American","25 - 45","High","Male",21,0,9,1,"2013-01-11 02:19:35","2013-02-13 09:33:11"
"45",29,"M","Caucasian","25 - 45","Low","Male",0,0,2,0,"2013-01-16 12:44:00","2013-01-16 06:49:32"
"46",21,"F","African-American","Less than 25","High","Female",2,-1,8,0,"2013-08-23 10:37:03","2013-11-11 04:30:55"
"47",51,"M","African-American","Greater than 45","Low","Male",2,-1,1,0,"2013-02-27 04:44:18","2013-02-28 08:01:39"
"48",29,"M","Caucasian","25 - 45","Low","Male",2,-1,2,1,"2014-04-05 08:45:01","2014-04-06 01:46:41"
"49",25,"F","African-American","25 - 45","Medium","Male",0,-1,6,0,"2013-08-22 10:16:10","2014-05-21 02:37:14"
"50",51,"F","African-American","Greater than 45","Low","Female",7,-1,2,0,"2013-02-13 09:29:56","2013-02-15 01:35:37"
"51",28,"F","Caucasian","25 - 45","Medium","Male",8,0,7,0,"2014-09-14 01:10:11","2014-09-15 03:16:00"
"52",36,"M","African-American","25 - 45","High","Male",22,-1,9,0,"2014-08-12 03:23:29","2015-02-25 11:44:57"
"53",29,"F","African-American","25 - 45","Medium","Male",0,0,7,1,"2014-03-03 04:28:58","2014-03-03 09:10:41"
"54",29,"M","Other","25 - 45","Low","Male",0,-1,1,0,"2014-06-18 05:28:46","2014-06-20 01:43:08"
"55",25,"M","Caucasian","25 - 45","High","Male",9,-1,10,1,"2014-03-27 10:17:55","2014-04-03 09:27:42"
"56",35,"F","African-American","25 - 45","High","Male",13,-1,8,1,"2014-05-18 04:05:09","2014-05-19 01:47:37"
"57",49,"M","Caucasian","Greater than 45","Low","Male",0,0,1,0,"2013-08-02 04:43:01","2013-08-02 08:31:32"
"58",29,"F","African-American","25 - 45","Low","Male",0,0,4,0,"2013-04-24 04:28:24","2013-04-24 08:20:12"
"59",29,"F","Caucasian","25 - 45","Low","Male",1,-24,2,1,"2013-05-10 05:18:38","2013-05-10 07:43:04"
"60",28,"F","Other","25 - 45","Low","Female",0,-1,2,0,"2013-11-17 09:43:17","2013-11-18 08:03:35"
"61",51,"F","Caucasian","Greater than 45","Low","Male",0,-1,2,0,"2014-10-04 11:39:42","2014-10-29 09:58:11"
"62",25,"F","Caucasian","25 - 45","Low","Male",0,0,3,0,"2014-06-03 03:00:04","2014-06-03 08:23:18"
"63",33,"F","Caucasian","25 - 45","High","Male",1,0,9,0,"2014-10-24 05:36:26","2014-10-25 03:19:50"
"64",30,"F","African-American","25 - 45","Medium","Male",3,-1,6,0,"2014-11-02 11:52:16","2014-11-04 02:31:15"
"65",31,"F","African-American","25 - 45","Medium","Male",15,-1,5,1,"2013-03-17 09:02:33","2013-07-31 08:23:26"
"66",24,"F","African-American","Less than 25","Low","Male",2,-1,4,1,"2013-09-17 07:19:20","2013-09-19 04:16:03"
"67",27,"F","African-American","25 - 45","Medium","Male",0,-1,5,0,"2014-11-07 09:08:30","2014-11-08 07:41:55"
"68",32,"F","Caucasian","25 - 45","High","Male",3,-1,8,0,"2014-07-29 06:31:17","2014-07-30 08:15:10"
"69",30,"M","Hispanic","25 - 45","Medium","Male",0,0,7,0,"2013-01-20 02:50:51","2013-02-12 09:16:13"
"70",49,"M","African-American","Greater than 45","Low","Male",4,-1,1,0,"2013-08-26 09:16:39","2013-08-27 06:57:19"
"71",53,"F","Caucasian","Greater than 45","Medium","Male",8,-13,5,0,"2013-05-15 08:36:10","2013-05-28 10:06:35"
"72",31,"M","Hispanic","25 - 45","Low","Female",0,-1,1,0,"2014-12-02 03:46:02","2014-12-02 08:24:25"
"73",35,"F","African-American","25 - 45","Low","Male",5,-1,3,0,"2013-02-10 07:44:42","2013-02-11 07:04:44"
"74",33,"F","African-American","25 - 45","Low","Male",2,-1,1,0,"2014-04-13 07:50:17","2014-04-14 01:36:23"
"75",27,"F","African-American","25 - 45","High","Male",15,-1,10,1,"2014-08-29 04:58:13","2014-08-30 08:38:48"
"76",38,"M","Caucasian","25 - 45","Low","Male",4,-1,2,1,"2013-02-03 11:59:25","2013-02-05 11:05:50"
"77",46,"F","Caucasian","Greater than 45","Medium","Male",9,-1,6,0,"2013-03-20 04:00:43","2013-03-22 01:04:54"
"78",22,"F","African-American","Less than 25","Low","Male",1,-1,4,1,"2013-11-15 06:56:49","2013-11-16 07:51:56"
"79",34,"M","Caucasian","25 - 45","Low","Female",0,0,1,0,"2014-07-30 02:23:25","2014-07-30 07:49:14"
"80",29,"F","African-American","25 - 45","High","Male",4,-1,9,1,"2013-01-25 10:34:01","2013-02-13 09:36:41"
"81",62,"M","Hispanic","Greater than 45","Low","Male",0,0,1,0,"2013-01-08 12:33:09","2013-01-08 09:41:28"
"82",27,"F","African-American","25 - 45","Medium","Male",6,0,6,1,"2014-04-30 02:11:49","2014-05-30 04:59:14"
"83",33,"M","Other","25 - 45","Low","Male",0,-1,1,0,"2014-03-08 01:34:03","2014-03-09 10:21:45"
"84",56,"M","African-American","Greater than 45","Low","Female",0,0,1,0,"2013-09-28 02:52:18","2013-10-01 07:39:52"
"85",45,"F","Hispanic","Greater than 45","Low","Male",6,-1,1,1,"2013-01-12 05:43:00","2013-09-11 04:51:56"
"86",22,"F","Hispanic","Less than 25","Low","Male",1,-1,4,0,"2013-05-24 06:06:17","2013-05-25 07:28:17"
"87",31,"F","Caucasian","25 - 45","Low","Female",2,-1,3,0,"2014-11-07 11:56:35","2014-11-08 08:12:11"
"88",34,"F","African-American","25 - 45","Low","Male",0,0,4,0,"2013-01-09 04:31:05","2014-03-04 06:20:58"
"89",39,"M","African-American","25 - 45","Low","Male",1,-1,4,0,"2013-03-06 11:23:53","2013-03-11 09:00:57"
"90",24,"M","African-American","Less than 25","Medium","Male",4,-1,6,0,"2014-09-20 10:06:03","2014-09-21 07:02:01"
"91",29,"F","African-American","25 - 45","Medium","Male",5,0,6,1,"2013-01-07 02:12:47","2013-01-08 05:19:42"
"92",27,"F","Caucasian","25 - 45","Medium","Male",1,-1,6,1,"2014-12-02 03:23:28","2014-12-16 09:24:24"
"93",40,"F","African-American","25 - 45","Low","Male",2,-15,2,0,"2013-07-02 03:42:01","2013-07-05 08:13:10"
"94",22,"M","African-American","Less than 25","Low","Male",1,0,3,1,"2013-08-25 12:07:09","2013-09-11 08:04:08"
"95",22,"F","Caucasian","Less than 25","High","Male",0,-1,8,0,"2013-02-18 12:24:07","2013-04-17 10:32:09"
"96",26,"F","African-American","25 - 45","Low","Female",1,-1,4,1,"2013-11-07 09:01:45","2013-11-09 09:07:50"
"97",32,"F","African-American","25 - 45","Low","Male",0,-1,2,0,"2013-03-03 03:33:48","2013-03-04 07:08:59"
"98",41,"M","African-American","25 - 45","Low","Male",1,-1,2,0,"2013-02-27 09:49:07","2013-03-01 01:59:16"
"99",50,"M","Caucasian","Greater than 45","Low","Male",0,-1,1,0,"2014-04-25 11:34:30","2014-04-26 01:03:23"
"100",30,"M","African-American","25 - 45","High","Male",8,-1,10,1,"2013-02-20 02:14:37","2013-02-21 07:47:06"
"101",66,"M","African-American","Greater than 45","High","Male",0,-1,9,0,"2014-10-16 06:36:44","2014-10-17 08:50:33"
"102",22,"F","Caucasian","Less than 25","Medium","Male",3,-5,6,0,"2014-06-19 12:38:23","2014-06-19 08:56:13"
"103",50,"F","Other","Greater than 45","Low","Male",0,-1,1,1,"2014-08-06 12:43:24","2014-08-07 08:29:46"
"104",25,"F","African-American","25 - 45","High","Male",14,-1,10,1,"2013-04-19 02:20:32","2013-04-26 05:45:46"
"105",20,"F","Other","Less than 25","Medium","Male",0,-1,5,1,"2013-10-02 05:50:22","2013-10-03 08:15:24"
"106",22,"F","African-American","Less than 25","High","Male",2,0,9,1,"2014-01-16 02:39:46","2014-02-15 04:39:31"
"107",54,"F","African-American","Greater than 45","Medium","Male",6,-1,6,0,"2014-08-06 10:41:47","2014-11-20 03:53:23"
"108",40,"F","Caucasian","25 - 45","Medium","Male",4,-1,5,0,"2014-03-25 08:59:43","2014-03-26 01:46:11"
"109",35,"M","African-American","25 - 45","Low","Female",1,-1,2,0,"2013-03-29 06:55:39","2013-03-30 03:12:37"
"110",36,"F","African-American","25 - 45","Medium","Male",9,0,7,1,"2014-04-29 12:24:22","2014-05-03 04:26:44"
"111",26,"F","Caucasian","25 - 45","High","Male",7,0,8,1,"2013-01-12 04:53:07","2013-01-12 07:28:51"
"112",21,"F","Other","Less than 25","Medium","Male",1,0,6,1,"2013-04-20 12:30:29","2013-04-24 10:36:19"
"113",25,"F","Caucasian","25 - 45","High","Male",9,-1,8,1,"2014-12-12 07:27:40","2014-12-13 07:23:49"
"114",34,"M","African-American","25 - 45","Low","Male",3,-21,3,0,"2014-11-13 08:19:29","2014-11-29 12:50:27"
"115",20,"F","Caucasian","Less than 25","Medium","Female",0,-1,7,0,"2013-11-13 11:21:14","2013-11-14 01:36:21"
"116",39,"F","Caucasian","25 - 45","Low","Male",2,-2,1,1,"2013-02-11 12:50:21","2013-02-11 07:33:17"
"117",54,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,"2013-04-15 01:07:24","2013-04-15 07:56:24"
"118",44,"M","Hispanic","25 - 45","Low","Female",0,-2,1,0,"2013-08-18 03:23:05","2013-08-19 06:27:00"
"119",19,"M","African-American","Less than 25","Low","Male",1,-10,4,1,"2014-11-04 07:39:38","2014-11-13 10:02:51"
"120",30,"F","African-American","25 - 45","Low","Male",1,-1,2,0,"2013-09-08 09:39:18","2013-09-09 08:03:09"
"121",39,"F","Caucasian","25 - 45","Low","Female",0,-1,1,1,"2013-09-04 11:36:38","2013-09-06 04:07:01"
"122",32,"M","African-American","25 - 45","Low","Female",8,0,3,0,"2014-11-25 05:33:33","2014-11-26 02:49:43"
"123",24,"F","Caucasian","Less than 25","Medium","Male",8,-1,6,1,"2013-04-10 05:59:23","2013-04-22 10:32:05"
"124",30,"F","Caucasian","25 - 45","Low","Male",0,-1,4,0,"2013-08-28 11:22:24","2013-09-03 10:40:45"
"125",31,"M","Caucasian","25 - 45","Medium","Male",0,-1,5,0,"2014-02-20 09:46:47","2014-03-31 09:04:43"
"126",39,"F","Caucasian","25 - 45","Low","Female",1,-1,4,0,"2013-02-25 07:42:47","2013-06-12 04:31:04"
"127",35,"F","Caucasian","25 - 45","Medium","Male",7,0,6,0,"2014-05-08 04:22:14","2014-05-08 12:57:16"
"128",24,"F","Other","Less than 25","Low","Female",0,-1,3,0,"2014-06-04 01:23:52","2014-06-21 01:13:30"
"129",43,"F","Caucasian","25 - 45","Low","Male",1,-30,1,0,"2013-07-16 06:41:37","2013-07-17 07:35:00"
"130",21,"F","African-American","Less than 25","High","Male",2,-1,9,0,"2014-10-15 12:23:24","2014-10-17 03:41:40"
"131",21,"M","African-American","Less than 25","Low","Female",0,-1,4,0,"2014-09-19 06:13:00","2014-09-23 05:47:00"
"132",21,"F","African-American","Less than 25","High","Male",3,-1,9,1,"2013-03-01 01:43:35","2013-03-07 08:20:12"
"133",27,"F","African-American","25 - 45","Medium","Male",0,-1,7,0,"2014-06-05 09:28:31","2014-06-06 02:38:15"
"134",20,"F","African-American","Less than 25","High","Male",0,0,8,0,"2014-10-08 03:57:59","2014-10-08 08:30:20"
"135",38,"M","Caucasian","25 - 45","Low","Male",5,-1,4,1,"2013-01-15 08:16:11","2013-01-18 04:32:15"
"136",27,"F","African-American","25 - 45","High","Male",3,-1,9,0,"2013-02-24 06:02:23","2013-09-19 08:59:55"
"137",34,"F","Caucasian","25 - 45","Medium","Male",0,0,5,0,"2013-02-15 10:54:22","2013-03-02 09:04:47"
"138",30,"F","African-American","25 - 45","Low","Male",3,0,3,0,"2014-12-29 07:22:39","2014-12-29 07:21:35"
"139",33,"F","African-American","25 - 45","Medium","Male",5,0,5,1,"2013-11-17 01:23:30","2013-11-17 08:15:06"
"140",37,"F","African-American","25 - 45","Low","Male",3,0,2,0,"2013-11-18 03:46:24","2013-11-19 10:18:36"
"141",42,"F","Caucasian","25 - 45","Low","Male",1,0,2,1,"2013-03-16 03:53:03","2013-03-17 01:43:20"
"142",41,"F","African-American","25 - 45","High","Male",10,0,9,1,"2013-09-06 04:25:05","2014-03-01 04:39:46"
"143",22,"F","African-American","Less than 25","Low","Male",0,-1,4,1,"2013-11-12 03:57:04","2013-11-13 01:01:29"
"144",33,"F","African-American","25 - 45","High","Male",28,-1,8,1,"2014-01-10 08:06:40","2014-01-12 04:07:52"
"145",44,"M","Caucasian","25 - 45","Low","Male",0,-3,1,0,"2014-10-31 03:02:35","2014-11-01 08:35:16"
"146",31,"M","African-American","25 - 45","Medium","Male",1,-1,7,0,"2013-10-13 03:47:49","2013-10-14 08:18:17"
"147",26,"F","African-American","25 - 45","High","Male",9,0,8,0,"2014-02-20 10:48:30","2014-02-21 10:16:49"
"148",30,"F","Other","25 - 45","Low","Female",1,-1,2,0,"2013-10-28 07:07:32","2013-10-29 09:49:38"
"149",31,"F","Caucasian","25 - 45","High","Male",13,-1,10,1,"2013-02-25 06:43:30","2014-06-11 12:57:06"
"150",27,"F","African-American","25 - 45","High","Male",3,-1,9,1,"2014-11-14 12:10:00","2014-11-15 11:29:02"
"151",31,"F","Caucasian","25 - 45","Low","Female",1,-1,2,0,"2014-09-10 07:01:03","2014-09-11 08:00:54"
"152",47,"F","Hispanic","Greater than 45","Low","Male",2,-1,1,0,"2014-06-05 03:52:26","2014-06-06 02:22:21"
"153",33,"M","Asian","25 - 45","High","Male",2,14,8,0,"2014-10-13 03:42:04","2014-10-27 01:08:43"
"154",52,"M","Caucasian","Greater than 45","High","Male",3,-2,9,0,"2013-07-27 10:50:36","2013-07-28 02:01:45"
"155",33,"F","African-American","25 - 45","High","Male",19,-1,10,1,"2013-12-28 10:22:08","2013-12-29 07:10:39"
"156",61,"F","Caucasian","Greater than 45","Low","Male",0,-1,4,0,"2014-07-20 09:28:43","2014-08-04 11:02:06"
"157",42,"F","Caucasian","25 - 45","Low","Male",6,-4,3,0,"2013-09-13 12:01:41","2013-09-13 09:01:37"
"158",25,"F","Caucasian","25 - 45","Low","Female",2,-1,4,0,"2013-12-22 01:36:59","2013-12-25 02:33:32"
"159",27,"F","Caucasian","25 - 45","Low","Male",0,-1,1,0,"2014-05-28 07:35:12","2014-05-29 12:27:01"
"160",30,"M","Caucasian","25 - 45","Low","Male",1,-20,2,0,"2013-10-30 06:36:57","2013-11-03 02:08:43"
"161",37,"M","Other","25 - 45","Low","Female",2,-1,2,0,"2013-12-29 10:42:45","2013-12-31 04:10:00"
"162",21,"F","Caucasian","Less than 25","Medium","Male",1,-1,5,0,"2014-07-06 07:37:31","2014-07-07 10:52:16"
"163",28,"M","Caucasian","25 - 45","Low","Male",0,-1,2,1,"2014-12-18 11:16:49","2014-12-19 08:34:46"
"164",24,"M","African-American","Less than 25","Low","Female",0,-1,2,0,"2014-02-06 01:25:28","2014-02-08 12:00:39"
"165",37,"F","African-American","25 - 45","High","Male",13,-29,8,0,"2014-02-18 07:29:11","2014-03-19 10:23:08"
"166",22,"F","African-American","Less than 25","High","Male",0,-1,9,0,"2013-10-21 07:05:37","2013-10-29 02:55:00"
"167",29,"F","Caucasian","25 - 45","Low","Female",10,-1,4,1,"2014-11-18 07:08:18","2014-11-25 09:31:21"
"168",25,"F","Caucasian","25 - 45","Low","Female",0,-1,3,0,"2014-04-25 06:18:00","2014-04-26 01:28:28"
"169",44,"M","Caucasian","25 - 45","Low","Male",2,0,2,1,"2014-01-27 02:05:45","2014-01-27 01:32:12"
"170",32,"F","African-American","25 - 45","Medium","Male",3,-1,7,1,"2013-01-01 07:06:35","2013-01-09 08:36:21"
"171",53,"F","Hispanic","Greater than 45","Low","Male",1,-1,4,0,"2014-05-24 05:45:16","2014-05-25 09:15:12"
"172",34,"M","Other","25 - 45","Low","Male",1,0,2,0,"2014-11-29 04:14:25","2014-12-01 12:36:46"
"173",31,"M","Caucasian","25 - 45","Low","Male",2,-16,3,1,"2013-08-20 05:28:11","2013-09-04 08:35:41"
"174",27,"F","African-American","25 - 45","High","Male",5,20,10,0,"2013-08-20 12:52:21","2013-08-27 06:26:34"
"175",31,"M","African-American","25 - 45","Low","Male",1,-1,2,1,"2013-01-16 05:37:32","2013-01-17 07:15:11"
"176",59,"F","Caucasian","Greater than 45","Low","Male",1,-1,2,1,"2013-04-01 11:13:32","2013-04-02 01:06:22"
"177",28,"F","African-American","25 - 45","High","Male",15,0,10,0,"2014-02-28 12:12:20","2014-04-10 06:53:07"
"178",23,"M","Caucasian","Less than 25","Low","Male",0,-1,3,0,"2014-11-09 07:59:51","2014-11-10 01:38:29"
"179",20,"F","African-American","Less than 25","High","Female",1,0,10,0,"2013-11-20 09:36:33","2013-11-23 04:06:00"
"180",43,"M","Caucasian","25 - 45","Low","Female",0,0,1,0,"2013-05-14 04:01:02","2013-05-15 03:11:16"
"181",38,"F","African-American","25 - 45","High","Male",9,-1,8,1,"2014-04-18 02:31:13","2014-05-01 05:39:49"
"182",32,"F","African-American","25 - 45","Medium","Male",11,-2,6,1,"2014-12-17 02:03:04","2014-12-18 08:41:05"
"183",33,"M","African-American","25 - 45","Medium","Male",8,-1,5,1,"2013-12-25 07:37:38","2013-12-26 01:30:44"
"184",55,"M","African-American","Greater than 45","High","Male",4,-1,8,0,"2014-09-27 03:38:45","2014-10-13 09:23:13"
"185",31,"F","African-American","25 - 45","Low","Female",0,-1,3,1,"2014-10-22 11:17:38","2014-10-24 06:08:10"
"186",33,"F","African-American","25 - 45","High","Female",7,-1,9,1,"2013-01-10 01:18:15","2013-02-05 05:36:46"
"187",27,"F","African-American","25 - 45","High","Male",2,-1,9,1,"2013-04-15 05:49:27","2013-04-16 07:48:50"
"188",52,"M","African-American","Greater than 45","Low","Male",0,-1,1,0,"2014-11-02 01:01:20","2014-11-03 01:37:13"
"189",20,"F","African-American","Less than 25","Medium","Female",0,0,6,0,"2013-12-07 03:39:31","2013-12-07 07:28:49"
"190",26,"M","Caucasian","25 - 45","Medium","Female",0,-2,6,0,"2014-01-25 04:45:14","2014-01-26 02:13:40"
"191",25,"M","African-American","25 - 45","High","Male",4,-1,10,0,"2014-08-12 03:25:00","2015-05-01 12:01:36"
"192",61,"F","African-American","Greater than 45","Low","Female",1,-1,1,1,"2013-04-26 07:00:16","2013-04-27 01:09:09"
"193",52,"F","Other","Greater than 45","Medium","Male",13,-1,7,1,"2013-05-14 09:51:40","2013-05-16 03:32:12"
"194",63,"F","Hispanic","Greater than 45","Low","Male",1,-26,1,0,"2014-01-10 09:45:32","2014-01-25 05:08:15"
"195",32,"F","African-American","25 - 45","High","Female",4,-7,10,1,"2014-04-16 09:55:10","2014-04-23 05:27:00"
"196",29,"F","Hispanic","25 - 45","Low","Male",1,-1,4,0,"2013-09-05 06:24:46","2013-09-06 03:39:35"
"197",26,"M","African-American","25 - 45","Low","Female",2,-1,4,1,"2013-03-09 07:15:19","2013-03-10 01:31:38"
"198",30,"F","Caucasian","25 - 45","Medium","Female",3,0,7,1,"2013-05-02 04:01:43","2014-10-14 06:03:58"
"199",30,"F","African-American","25 - 45","Medium","Male",1,0,7,0,"2013-03-02 01:19:52","2013-05-11 04:23:17"
"200",48,"M","Caucasian","Greater than 45","Low","Male",2,-1,2,0,"2013-09-25 12:51:27","2013-09-26 08:42:11"
"201",33,"M","Caucasian","25 - 45","Low","Male",0,-1,1,0,"2014-12-29 07:56:52","2014-12-31 03:36:29"
"202",22,"F","African-American","Less than 25","Low","Male",1,-1,2,0,"2013-05-15 12:16:21","2013-05-16 09:03:09"
"203",46,"F","Caucasian","Greater than 45","Low","Male",6,22,1,1,"2013-03-05 09:31:17","2013-03-28 01:40:17"
"204",41,"F","Caucasian","25 - 45","High","Male",5,-1,10,0,"2014-08-16 09:24:16","2014-11-20 06:31:39"
"205",31,"F","Caucasian","25 - 45","Medium","Male",0,0,5,0,"2013-04-20 02:52:11","2013-04-22 09:19:35"
"206",31,"M","African-American","25 - 45","Low","Male",0,-1,1,0,"2014-05-30 09:43:45","2014-05-31 09:38:59"
"207",25,"M","African-American","25 - 45","Low","Male",1,-1,2,1,"2013-09-16 03:35:39","2013-09-18 01:39:28"
"208",31,"F","African-American","25 - 45","Low","Male",3,-19,3,0,"2014-05-22 07:53:02","2014-06-10 10:33:59"
"209",21,"M","African-American","Less than 25","Medium","Female",0,-4,6,0,"2014-03-31 11:57:27","2014-04-04 11:07:49"
"210",23,"F","Hispanic","Less than 25","Low","Male",0,-1,3,0,"2013-09-08 01:03:31","2013-09-08 02:03:07"
"211",32,"F","African-American","25 - 45","Medium","Female",5,-1,7,0,"2013-02-17 07:51:04","2013-02-18 10:17:02"
"212",52,"M","Hispanic","Greater than 45","Low","Male",2,-1,1,0,"2013-03-04 10:07:00","2013-03-07 11:56:36"
"213",62,"F","African-American","Greater than 45","Low","Male",8,0,4,0,"2013-02-05 12:23:14","2013-02-21 04:06:55"
"214",31,"F","Hispanic","25 - 45","High","Male",8,29,9,1,"2013-08-23 05:18:39","2013-12-18 10:43:00"
"215",28,"M","African-American","25 - 45","Medium","Male",6,-1,6,1,"2013-03-17 09:01:58","2013-03-18 01:40:10"
"216",54,"F","Hispanic","Greater than 45","Low","Male",2,-1,1,0,"2013-08-28 02:23:37","2014-03-04 11:31:17"
"217",58,"F","Hispanic","Greater than 45","Low","Male",0,-1,2,0,"2013-03-13 10:02:13","2013-03-14 02:21:27"
"218",78,"M","Caucasian","Greater than 45","Low","Male",1,-1,1,1,"2014-09-19 10:36:52","2014-09-20 07:10:15"
"219",56,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,"2014-03-02 03:51:04","2014-03-03 07:47:20"
"220",24,"F","Other","Less than 25","Low","Male",0,-1,2,0,"2014-01-13 09:13:09","2014-01-15 08:37:12"
"221",39,"M","African-American","25 - 45","Medium","Male",3,-1,5,0,"2014-11-05 02:34:56","2014-11-10 08:50:37"
"222",35,"F","Caucasian","25 - 45","Low","Male",0,-1,1,0,"2014-04-28 11:04:53","2014-04-29 06:03:02"
"223",22,"F","African-American","Less than 25","Medium","Male",1,0,5,1,"2014-04-24 01:23:50","2014-04-24 01:25:52"
"224",47,"M","African-American","Greater than 45","High","Male",23,-1,8,1,"2013-02-02 08:19:13","2013-02-03 05:06:15"
